Date,Company,Price Close_lag1,Volume_lag1,Return,Mkt-RF_lag1,SMB_lag1,HML_lag1,RMW_lag1,CMA_lag1,RF_lag1
2023-06-09,FTNT.O,69,4743162.0,-0.0143,0.59,-0.77,-1.15,-0.16,-0.49,0.019
2023-06-12,FTNT.O,"68,01",4213274.0,0.0269,0.03,-0.79,-0.4,0.06,-0.23,0.019
2023-06-13,FTNT.O,"69,84",5488105.0,0.0093,0.94,-0.27,-1.39,-0.22,-0.78,0.019
2023-06-14,FTNT.O,"70,49",4761604.0,0.014,0.74,0.52,0.07,-0.55,-0.51,0.019
2023-06-15,FTNT.O,"71,48",4875365.0,0.0295,-0.04,-1.06,-0.92,0.63,-0.24,0.019
2023-06-16,FTNT.O,"73,59",5438003.0,-0.011,1.22,-0.36,0.06,0.22,-0.09,0.019
2023-06-20,FTNT.O,"72,78",10916028.0,-0.0154,-0.45,-0.51,0.22,0.16,0.33,0.019
2023-06-21,FTNT.O,"71,66",4286343.0,-0.0077,-0.49,0.21,-0.66,-0.11,-0.51,0.019
2023-06-22,FTNT.O,"71,11",7128115.0,0.0105,-0.56,0.29,0.55,0.59,0.86,0.019
2023-06-23,FTNT.O,"71,86",3234243.0,-0.0038,0.32,-0.96,-1.23,0.25,-0.52,0.019
2023-06-26,FTNT.O,"71,59",14856242.0,-0.0074,-0.84,-0.6,0.07,0.27,0.06,0.019
2023-06-27,FTNT.O,"71,06",3416560.0,0.0366,-0.48,-0.01,1.3,0.63,0.67,0.019
2023-06-28,FTNT.O,"73,66",4602491.0,0.0091,1.21,0.32,-0.52,0.25,-0.72,0.019
2023-06-29,FTNT.O,"74,33",5834392.0,0.0102,0.04,0.47,-0.42,-0.62,-0.42,0.019
2023-06-30,FTNT.O,"75,09",6114359.0,0.0067,0.44,0.75,0.76,0.57,0.46,0.019
2023-07-03,FTNT.O,"75,59",4578622.0,-0.0123,1.14,-0.73,-0.77,-0.1,-0.29,0.019
2023-07-05,FTNT.O,"74,66",2253856.0,-0.0047,0.15,0.27,1.07,0.16,0.12,0.022
2023-07-06,FTNT.O,"74,31",3763947.0,0.0046,-0.29,-1.07,-0.26,-0.29,0.0,0.022
2023-07-07,FTNT.O,"74,65",4330011.0,0.0004,-0.95,-0.59,-0.68,0.58,0.06,0.022
2023-07-10,FTNT.O,"74,68",4011783.0,0.0426,-0.12,1.3,1.22,-0.22,0.19,0.022
2023-07-11,FTNT.O,"77,86",8176651.0,0.0059,0.37,1.24,0.0,-1.01,0.54,0.022
2023-07-12,FTNT.O,"78,32",4295195.0,-0.0204,0.76,0.18,0.49,-0.22,0.3,0.022
2023-07-13,FTNT.O,"76,72",6147898.0,0.0199,0.74,0.37,0.44,-0.31,-0.44,0.022
2023-07-14,FTNT.O,"78,245",4709541.0,0.0086,0.9,-0.07,-0.1,-0.17,-0.67,0.022
2023-07-17,FTNT.O,"78,92",4913721.0,0.0172,-0.25,-0.7,-1.51,0.43,-0.55,0.022
2023-07-18,FTNT.O,"80,28",4185827.0,-0.0005,0.49,0.64,-0.27,-0.39,-0.06,0.022
2023-07-19,FTNT.O,"80,24",4586209.0,-0.0193,0.78,0.44,1.09,0.63,-0.44,0.022
2023-07-20,FTNT.O,"78,69",5984975.0,-0.0126,0.25,0.26,1.32,0.15,0.19,0.022
2023-07-21,FTNT.O,"77,7",3623851.0,0.0059,-0.81,-0.35,0.64,0.44,1.47,0.022
2023-07-24,FTNT.O,"78,16",12134200.0,-0.0114,-0.05,-0.38,-0.36,-0.15,0.11,0.022
2023-07-25,FTNT.O,"77,27",3870766.0,0.0138,0.31,-0.03,0.77,0.95,-0.22,0.022
2023-07-26,FTNT.O,"78,34",3678984.0,-0.0138,0.25,-0.23,-0.79,0.49,-0.4,0.022
2023-07-27,FTNT.O,"77,26",3378450.0,-0.0088,0.02,0.86,1.03,-0.36,0.65,0.022
2023-07-28,FTNT.O,"76,58",3957737.0,0.0029,-0.75,-0.81,0.29,0.39,0.11,0.022
2023-07-31,FTNT.O,"76,8",3545155.0,0.012,1.14,0.43,-0.35,-0.75,-0.4,0.022
2023-08-01,FTNT.O,"77,72",3544369.0,0.004,0.26,0.99,-0.08,-0.96,0.07,0.022
2023-08-02,FTNT.O,"78,03",2621393.0,-0.0475,-0.35,-0.11,0.3,0.19,-0.28,0.02
2023-08-03,FTNT.O,"74,32",5677076.0,0.0194,-1.49,-0.05,0.6,0.68,0.69,0.02
2023-08-04,FTNT.O,"75,76",6102273.0,-0.2507,-0.19,0.02,0.08,0.31,-0.35,0.02
2023-08-07,FTNT.O,"56,77",32831477.0,0.0164,-0.49,0.08,0.76,-0.17,-0.66,0.02
2023-08-08,FTNT.O,"57,7",14402404.0,0.0151,0.77,-1.09,0.59,0.65,-0.1,0.02
2023-08-09,FTNT.O,"58,57",16011804.0,0.0207,-0.47,0.1,0.14,0.47,0.03,0.02
2023-08-10,FTNT.O,"59,78",13133517.0,0.013,-0.78,-0.01,-0.06,0.87,0.02,0.02
2023-08-11,FTNT.O,"60,56",10993561.0,-0.0145,0.01,-0.46,-0.66,-0.02,-0.05,0.02
2023-08-14,FTNT.O,"59,68",7695677.0,-0.0003,-0.11,0.24,0.46,-0.2,0.39,0.02
2023-08-15,FTNT.O,"59,66",7339978.0,-0.0082,0.51,-0.84,-0.8,0.1,-0.65,0.02
2023-08-16,FTNT.O,"59,17",7210700.0,-0.0167,-1.18,0.0,-1.04,0.2,0.04,0.02
2023-08-17,FTNT.O,"58,18",3596708.0,-0.0132,-0.81,-0.48,-0.13,0.38,0.02,0.02
2023-08-18,FTNT.O,"57,41",5045623.0,-0.0044,-0.87,-0.17,0.49,0.48,0.16,0.02
2023-08-21,FTNT.O,"57,16",5390397.0,0.0215,0.04,0.41,-0.22,0.07,-0.11,0.02
2023-08-22,FTNT.O,"58,39",6711700.0,-0.0012,0.64,-0.87,-0.6,0.19,-0.88,0.02
2023-08-23,FTNT.O,"58,32",4843329.0,0.0149,-0.32,-0.02,-1.04,-0.33,-0.21,0.02
2023-08-24,FTNT.O,"59,19",4689677.0,-0.0176,1.08,-0.22,-0.11,-0.38,-0.25,0.02
2023-08-25,FTNT.O,"58,15",4833725.0,0.0113,-1.43,0.01,0.62,0.51,0.4,0.02
2023-08-28,FTNT.O,"58,81",4241207.0,-0.0019,0.65,-0.23,-0.57,-0.35,-0.17,0.02
2023-08-29,FTNT.O,"58,7",4840914.0,0.0329,0.63,0.09,0.41,0.26,0.03,0.02
2023-08-30,FTNT.O,"60,63",5632182.0,0.0097,1.5,-0.08,-0.11,-0.04,-0.44,0.02
2023-08-31,FTNT.O,"61,22",5045791.0,-0.0165,0.41,0.09,-0.46,-0.42,-0.03,0.02
2023-09-01,FTNT.O,"60,21",6428583.0,0.011,-0.08,-0.19,0.22,0.07,-0.26,0.02
2023-09-05,FTNT.O,"60,87",4957878.0,0.0171,0.26,0.84,0.58,-0.03,-0.2,0.021
2023-09-06,FTNT.O,"61,91",4904778.0,0.0052,-0.54,-1.58,-0.86,-0.3,-0.47,0.021
2023-09-07,FTNT.O,"62,23",5225479.0,0.0151,-0.71,0.01,-0.18,-0.45,0.1,0.021
2023-09-08,FTNT.O,"63,17",5440718.0,0.0142,-0.4,-0.69,0.03,-0.2,0.02,0.021
2023-09-11,FTNT.O,"64,07",5817932.0,0.0156,0.12,-0.51,0.4,0.28,0.01,0.021
2023-09-12,FTNT.O,"65,07",4575513.0,-0.0241,0.66,-0.47,-0.54,-0.49,-0.33,0.021
2023-09-13,FTNT.O,"63,5",5316945.0,-0.0139,-0.59,0.21,0.99,0.25,0.23,0.021
2023-09-14,FTNT.O,"62,62",3995868.0,0.0077,0.03,-0.87,-0.22,0.25,-0.36,0.021
2023-09-15,FTNT.O,"63,1",4289192.0,-0.033,0.84,0.49,0.86,0.82,0.02,0.021
2023-09-18,FTNT.O,"61,02",10314018.0,-0.0093,-1.21,0.21,0.25,-0.33,0.5,0.021
2023-09-19,FTNT.O,"60,45",3429315.0,-0.0002,-0.04,-0.82,-0.19,0.2,-0.05,0.021
2023-09-20,FTNT.O,"60,44",4220538.0,-0.0048,-0.27,-0.11,0.0,0.32,0.31,0.021
2023-09-21,FTNT.O,"60,15",3452716.0,-0.0228,-0.95,-0.05,0.26,0.27,0.49,0.021
2023-09-22,FTNT.O,"58,78",4389127.0,-0.0092,-1.69,0.34,0.38,0.56,0.13,0.021
2023-09-25,FTNT.O,"58,24",3458580.0,-0.0022,-0.25,-0.09,-0.51,0.18,-0.19,0.021
2023-09-26,FTNT.O,"58,11",3811284.0,-0.0117,0.39,-0.06,0.33,0.58,-0.46,0.021
2023-09-27,FTNT.O,"57,43",4347550.0,0.0124,-1.46,0.36,-0.51,-0.34,-0.07,0.021
2023-09-28,FTNT.O,"58,14",3285461.0,0.0079,0.13,0.78,0.1,0.19,-0.28,0.021
2023-09-29,FTNT.O,"58,6",3545915.0,0.0014,0.65,0.19,0.04,0.43,-0.03,0.021
2023-10-02,FTNT.O,"58,68",4665251.0,-0.0009,-0.27,-0.02,0.31,-0.19,-0.15,0.021
2023-10-03,FTNT.O,"58,63",4099010.0,-0.0174,-0.14,-1.28,-1.05,0.87,-0.52,0.021
2023-10-04,FTNT.O,"57,61",6914051.0,0.0113,-1.5,-0.26,-0.15,0.3,0.14,0.021
2023-10-05,FTNT.O,"58,26",4875569.0,-0.0041,0.77,-0.53,-0.37,-0.39,-0.33,0.021
2023-10-06,FTNT.O,"58,02",7429115.0,0.0329,-0.15,0.28,0.09,-0.46,-0.12,0.021
2023-10-09,FTNT.O,"59,93",4752606.0,-0.007,1.21,-0.44,-0.55,-0.31,-0.52,0.021
2023-10-10,FTNT.O,"59,51",4918273.0,-0.0018,0.59,-0.16,0.26,0.82,-0.37,0.021
2023-10-11,FTNT.O,"59,4",5051028.0,-0.0072,0.61,0.33,0.62,-0.24,0.19,0.021
2023-10-12,FTNT.O,"58,97",9492372.0,-0.0164,0.32,-0.65,0.38,0.64,-0.25,0.021
2023-10-13,FTNT.O,58,8388440.0,-0.0041,-0.81,-1.5,0.11,1.19,-0.22,0.021
2023-10-16,FTNT.O,"57,76",11561247.0,0.0239,-0.59,-0.35,0.05,0.08,0.46,0.021
2023-10-17,FTNT.O,"59,14",5498620.0,-0.0083,1.14,0.58,-0.1,-0.36,-0.02,0.021
2023-10-18,FTNT.O,"58,65",4774828.0,-0.0167,0.09,1.05,0.68,-0.1,0.32,0.021
2023-10-19,FTNT.O,"57,67",4671309.0,0.0017,-1.47,-0.61,-0.17,0.87,0.46,0.021
2023-10-20,FTNT.O,"57,77",7383288.0,-0.0244,-0.92,-0.54,-0.22,-0.05,0.01,0.021
2023-10-23,FTNT.O,"56,36",6500862.0,-0.0046,-1.32,0.09,-0.15,0.2,0.36,0.021
2023-10-24,FTNT.O,"56,1",4084992.0,0.0257,-0.23,-0.58,-0.77,0.18,-0.43,0.021
